DateTime,#Site,SamplingHeight,InstrumentId,co2
2017-06-15 00:00:00,SVB,150,464,408.01099999999997
2017-06-15 01:00:00,SVB,150,464,408.082
2017-06-15 02:00:00,SVB,150,464,408.176
2017-06-15 03:00:00,SVB,150,464,408.39300000000003
2017-06-15 04:00:00,SVB,150,464,406.865
2017-06-15 05:00:00,SVB,150,464,405.539
2017-06-15 06:00:00,SVB,150,464,404.64
2017-06-15 07:00:00,SVB,150,464,403.92199999999997
2017-06-15 08:00:00,SVB,150,464,403.717
2017-06-15 09:00:00,SVB,150,464,404.16
2017-06-15 10:00:00,SVB,150,464,403.77099999999996
2017-06-15 11:00:00,SVB,150,464,404.077
2017-06-15 12:00:00,SVB,150,464,405.039
2017-06-15 13:00:00,SVB,150,464,404.675
2017-06-15 14:00:00,SVB,150,464,404.17
2017-06-15 15:00:00,SVB,150,464,403.89300000000003
2017-06-15 16:00:00,SVB,150,464,404.39599999999996
2017-06-15 17:00:00,SVB,150,464,403.999
2017-06-15 18:00:00,SVB,150,464,404.07099999999997
2017-06-15 19:00:00,SVB,150,464,404.048
2017-06-15 20:00:00,SVB,150,464,404.79400000000004
2017-06-15 21:00:00,SVB,150,464,405.07
2017-06-15 22:00:00,SVB,150,464,405.23699999999997
2017-06-15 23:00:00,SVB,150,464,405.07
2017-06-16 00:00:00,SVB,150,464,405.156
2017-06-16 01:00:00,SVB,150,464,405.49699999999996
2017-06-16 02:00:00,SVB,150,464,405.85400000000004
2017-06-16 03:00:00,SVB,150,464,405.973
2017-06-16 04:00:00,SVB,150,464,405.34
2017-06-16 05:00:00,SVB,150,464,403.337
2017-06-16 06:00:00,SVB,150,464,402.62800000000004
2017-06-16 07:00:00,SVB,150,464,402.375
2017-06-16 08:00:00,SVB,150,464,402.931
2017-06-16 09:00:00,SVB,150,464,402.725
2017-06-16 10:00:00,SVB,150,464,401.501
2017-06-16 11:00:00,SVB,150,464,400.603
2017-06-16 12:00:00,SVB,150,464,401.47900000000004
2017-06-16 13:00:00,SVB,150,464,400.82599999999996
2017-06-16 14:00:00,SVB,150,464,401.625
2017-06-16 15:00:00,SVB,150,464,401.36800000000005
2017-06-16 16:00:00,SVB,150,464,401.899
2017-06-16 17:00:00,SVB,150,464,401.28
2017-06-16 18:00:00,SVB,150,464,401.254
2017-06-16 19:00:00,SVB,150,464,402.038
2017-06-16 20:00:00,SVB,150,464,402.602
2017-06-16 21:00:00,SVB,150,464,403.18800000000005
2017-06-16 22:00:00,SVB,150,464,402.59
2017-06-16 23:00:00,SVB,150,464,402.723
2017-06-17 00:00:00,SVB,150,464,401.31800000000004
